122HSojVPMx0fztidoC6D1rBh_-C85vOC,021 - Capitolo 16 - gennaio 1526.mp3,Marco Meacci,2019-03-06T20:05:11.146Z,6010782,https://drive.google.com/uc?id=122HSojVPMx0fztidoC6D1rBh_-C85vOC&export=download
1snDVYADn6RFRxSUqCa2SmcJVOUgUOuX8,022 - Capitolo 17 - 20 settembre 1524.mp3,Marco Meacci,2019-03-06T20:06:32.690Z,6035446,https://drive.google.com/uc?id=1snDVYADn6RFRxSUqCa2SmcJVOUgUOuX8&export=download
1JJ78_j_mY-BI7ETfWp3ofWjY_yu5tDDz,023 - Capitolo 18 - pasqua 1526.mp3,Marco Meacci,2019-03-06T20:08:10.422Z,7450650,https://drive.google.com/uc?id=1JJ78_j_mY-BI7ETfWp3ofWjY_yu5tDDz&export=download
1XDLke8fxaJvxWSCiuPLRcqVAHTbg9he4,024 - Capitolo 19 - 10 ottobre 1524.mp3,Marco Meacci,2019-03-06T20:10:26.009Z,9024271,https://drive.google.com/uc?id=1XDLke8fxaJvxWSCiuPLRcqVAHTbg9he4&export=download
1FSps3WoYdmXhdkutfND0x9BCExHtDX95,025 - Capitolo 20 - autunno 1526.mp3,Marco Meacci,2019-03-06T20:12:43.476Z,8331292,https://drive.google.com/uc?id=1FSps3WoYdmXhdkutfND0x9BCExHtDX95&export=download
1iqhsVcReteUc0tXdYECgibP38oJHReCV,026 - Capitolo 21 - capodanno 1527.mp3,Marco Meacci,2019-03-06T20:15:24.957Z,12507542,https://drive.google.com/uc?id=1iqhsVcReteUc0tXdYECgibP38oJHReCV&export=download
1aaT8fPxNuw19Kavi3NETOp7mnmchokJ6,027 - Capitolo 22 - 1 dicembre 1524.mp3,Marco Meacci,2019-03-06T20:17:21.559Z,6830821,https://drive.google.com/uc?id=1aaT8fPxNuw19Kavi3NETOp7mnmchokJ6&export=download
1q731Bv0VjCW_80AFbX9F6_ixd7U_w7Q6,028 - Capitolo 23 - 15 febbraio 1525.mp3,Marco Meacci,2019-03-06T20:18:54.986Z,6484752,https://drive.google.com/uc?id=1q731Bv0VjCW_80AFbX9F6_ixd7U_w7Q6&export=download
199iMyX60qHEWn3psXUU08QUTyId2N1dq,029 - Capitolo 24 - 10 marzo 1525.mp3,Marco Meacci,2019-03-06T20:20:25.536Z,4739769,https://drive.google.com/uc?id=199iMyX60qHEWn3psXUU08QUTyId2N1dq&export=download
1o97716XCS45SOql_1ymPEahFlWUWNsxK,030 - Capitolo 25 - fine gennaio 1527.mp3,Marco Meacci,2019-03-06T20:24:31.717Z,17072495,https://drive.google.com/uc?id=1o97716XCS45SOql_1ymPEahFlWUWNsxK&export=download
1YFNXssSK4YsLAJ6FzbvI6YeGp1UOBSM9,031 - Capitolo 26 - 9 maggio 1525.mp3,Marco Meacci,2019-03-06T20:25:23.553Z,4235292,https://drive.google.com/uc?id=1YFNXssSK4YsLAJ6FzbvI6YeGp1UOBSM9&export=download
17HUcEur5P32TH954MOYCfsSzJufomwnP,032 - Capitolo 27 - 10 maggio 1525.mp3,Marco Meacci,2019-03-06T20:27:07.805Z,7195280,https://drive.google.com/uc?id=17HUcEur5P32TH954MOYCfsSzJufomwnP&export=download
1CYznb5K0oWpMMpyXcizJ7NFp1xUi-yLf,033 - Capitolo 28 - febbraio 1527.mp3,Marco Meacci,2019-03-06T20:27:51.283Z,2576412,https://drive.google.com/uc?id=1CYznb5K0oWpMMpyXcizJ7NFp1xUi-yLf&export=download
1o0vs9ZugIa1ryx_qjcDDQAMOD9i4Wu9P,034 - Capitolo 29 - 15 maggio 1525.mp3,Marco Meacci,2019-03-06T20:29:14.713Z,6047982,https://drive.google.com/uc?id=1o0vs9ZugIa1ryx_qjcDDQAMOD9i4Wu9P&export=download
1O1fD1FQuEafBbo7wUD7lbFp3lHSRI1Ab,035 - Lettera - 28 maggio 1525.mp3,Marco Meacci,2019-03-06T20:30:41.606Z,6162499,https://drive.google.com/uc?id=1O1fD1FQuEafBbo7wUD7lbFp3lHSRI1Ab&export=download
132I_DvuJncZOPYINxrJ7D9AbRUEsRbda,036 - Lettera - 22 giugno 1526.mp3,Marco Meacci,2019-03-06T20:31:31.393Z,3851185,https://drive.google.com/uc?id=132I_DvuJncZOPYINxrJ7D9AbRUEsRbda&export=download
1pTpXKubXYVqGhbRByGT20_QUAhhGmGB4,037 - Lettera - 10 giugno 1527.mp3,Marco Meacci,2019-03-06T20:32:24.442Z,2914538,https://drive.google.com/uc?id=1pTpXKubXYVqGhbRByGT20_QUAhhGmGB4&export=download
1rOtl5pDqaCNhdM1tOC05SBtGkHLaW4T3,038 - Lettera - 17 settembre 1527.mp3,Marco Meacci,2019-03-06T20:33:45.296Z,5818104,https://drive.google.com/uc?id=1rOtl5pDqaCNhdM1tOC05SBtGkHLaW4T3&export=download
1h2HpNlO7u5Detb6mzPhh0Li47UZOUg6C,039 - Lettera - 1 ottobre 1529.mp3,Marco Meacci,2019-03-06T20:34:25.722Z,2755296,https://drive.google.com/uc?id=1h2HpNlO7u5Detb6mzPhh0Li47UZOUg6C&export=download
